where,url,scheme,domain,path,placeholder
IT-SHARED/60_BUNDLES/BUNDLE_KP_NetworkMaster_V1.md,http://[IP,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_Print_Diag_V1.md,http://[IP_ACTUELLE,,,,True
20_Agents/IT-NetworkMaster/IT-NetworkMaster_prompt.md,http://[IP_CONTROLEUR,,,,True
20_Agents/IT-NetworkMaster/prompt.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Unifi_Mikrotik_Operations_V1.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/30_SCRIPTS/LIBRARY_BASH_Bash-Snippets_V1.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/30_SCRIPTS/LIBRARY__Bash_Snippets.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_KP_NetworkMaster_V1.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,http://[IP_CONTROLEUR,,,,True
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__N2_Support_V1.md,http://[IP_IMPRIMANTE,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_N1_UserSupport_V1.md,http://[IP_IMPRIMANTE,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_Print_Diag_V1.md,http://[IP_IMPRIMANTE,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Unifi_Mikrotik_Operations_V1.md,http://[IP_MIKROTIK,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,http://[IP_MIKROTIK,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,http://[IP_MIKROTIK,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,http://[IP_MIKROTIK,,,,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT__RB__WSUS_Maintenance_V1.md,http://[SERVEUR_WSUS,,,,True
20_Agents/IT-NetworkMaster/IT-NetworkMaster_prompt.md,https://[IP,,,,True
20_Agents/IT-NetworkMaster/prompt.md,https://[IP,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_KP_NetworkMaster_V1.md,https://[IP,,,,True
20_Agents/IT-NetworkMaster/IT-NetworkMaster_prompt.md,https://[IP_CONTROLEUR,,,,True
20_Agents/IT-NetworkMaster/prompt.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Unifi_Mikrotik_Operations_V1.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_KP_NetworkMaster_V1.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,https://[IP_CONTROLEUR,,,,True
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__Datto_Operations_V1.md,https://[IP_DATTO,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_BACKUP_Datto-Keepit-DR_V1.md,https://[IP_DATTO,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_KP_NetworkMaster_V1.md,https://[IP_FIREBOX,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Fortinet_Operations_V1.md,https://[IP_FORTIGATE,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,https://[IP_FORTIGATE,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,https://[IP_FORTIGATE,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,https://[IP_FORTIGATE,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__WatchGuard_Operations_V1.md,https://[IP_Firebox,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,https://[IP_Firebox,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,https://[IP_Firebox,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,https://[IP_Firebox,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__SonicWall_Operations_V1.md,https://[IP_SONICWALL,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,https://[IP_SONICWALL,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Firewall-VPN_V1.md,https://[IP_SONICWALL,,,,True
IT-SHARED/60_BUNDLES/BUNDLE__INFRA_Firewall.md,https://[IP_SONICWALL,,,,True
20_Agents/IT-SysAdmin/02_RUNBOOKS/BUNDLE_INFRA_VIRTUALISATION.md,https://[IP_XO,,,,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Vates_XCPng_Operations_V1.md,https://[IP_XO,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_INFRA_VIRTUALISATION.md,https://[IP_XO,,,,True
IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_INFRA_Hyperviseurs_V1.md,https://[IP_XO,,,,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT__RB__WSUS_Maintenance_V1.md,https://[SERVEUR_WSUS,,,,True
